Original Extrapolated Smoother  Refactored Extrapolated Smoother
0.0000000000e+00  0.0000000000e+00,
1.2257886441e-05  1.2257886441e-05,
2.4044709180e-05  2.4044709180e-05,
3.4907507229e-05  3.4907507229e-05,
4.4428829352e-05  4.4428829352e-05,
5.2242776478e-05  5.2242776478e-05,
5.8049063002e-05  5.8049063002e-05,
6.1624556589e-05  6.1624556589e-05,
6.2831853027e-05  6.2831853027e-05,
6.1624556589e-05  6.1624556589e-05,
5.8049063002e-05  5.8049063002e-05,
5.2242776478e-05  5.2242776478e-05,
4.4428829352e-05  4.4428829352e-05,
3.4907507229e-05  3.4907507229e-05,
2.4044709180e-05  2.4044709180e-05,
1.2257886441e-05  1.2257886441e-05,
7.6946827700e-21  7.6946827700e-21,
-1.2257886441e-05  -1.2257886441e-05,
-2.4044709180e-05  -2.4044709180e-05,
-3.4907507229e-05  -3.4907507229e-05,
-4.4428829352e-05  -4.4428829352e-05,
-5.2242776478e-05  -5.2242776478e-05,
-5.8049063002e-05  -5.8049063002e-05,
-6.1624556589e-05  -6.1624556589e-05,
-6.2831853027e-05  -6.2831853027e-05,
-6.1624556589e-05  -6.1624556589e-05,
-5.8049063002e-05  -5.8049063002e-05,
-5.2242776478e-05  -5.2242776478e-05,
-4.4428829352e-05  -4.4428829352e-05,
-3.4907507229e-05  -3.4907507229e-05,
-2.4044709180e-05  -2.4044709180e-05,
-1.2257886441e-05  -1.2257886441e-05,
6.6770938447e-01  6.6770938447e-01,
6.9257723420e-01  6.9155161703e-01,
7.3436667373e-01  7.3295523955e-01,
7.8354364956e-01  7.8118940100e-01,
8.3048906592e-01  8.2787788737e-01,
8.7091705746e-01  8.6785643837e-01,
9.0130341668e-01  8.9807420735e-01,
9.2013939526e-01  9.1675025560e-01,
9.2637995571e-01  9.2294515078e-01,
9.1979480841e-01  9.1637596546e-01,
9.0065519288e-01  8.9736828820e-01,
8.7004671011e-01  8.6691525313e-01,
8.2956048607e-01  8.2687532737e-01,
7.8282050824e-01  7.8040500303e-01,
7.3420357122e-01  7.3274129867e-01,
6.9306438912e-01  6.9203794509e-01,
6.6820611761e-01  6.6820611761e-01,
6.6588717408e-01  6.6691361811e-01,
6.8300692902e-01  6.8446920157e-01,
7.0968743489e-01  7.1210294010e-01,
7.3941683096e-01  7.4210198965e-01,
7.6624521982e-01  7.6937667680e-01,
7.8754159256e-01  7.9082849725e-01,
8.0120598786e-01  8.0462483081e-01,
8.0633793595e-01  8.0977274087e-01,
8.0252762231e-01  8.0591676197e-01,
7.9004721470e-01  7.9327642402e-01,
7.6963399459e-01  7.7269461368e-01,
7.4321484826e-01  7.4582602681e-01,
7.1321094767e-01  7.1556519623e-01,
6.8544651090e-01  6.8685794509e-01,
6.6662912631e-01  6.6765474349e-01,
1.0000000000e+00  1.0000000000e+00,
1.0041596122e+00  9.6046148457e-01,
1.0000000000e+00  1.0000000000e+00,
1.0088977893e+00  9.9974046691e-01,
1.0000000000e+00  1.0000000000e+00,
1.0099843732e+00  1.0144991272e+00,
1.0000000000e+00  1.0000000000e+00,
1.0101873580e+00  1.0173240468e+00,
1.0000000000e+00  1.0000000000e+00,
1.0104922034e+00  1.0179394375e+00,
1.0000000000e+00  1.0000000000e+00,
1.0107779610e+00  1.0160407287e+00,
1.0000000000e+00  1.0000000000e+00,
1.0097296182e+00  1.0023860144e+00,
1.0000000000e+00  1.0000000000e+00,
1.0044531180e+00  9.6756196514e-01,
1.0000000000e+00  1.0000000000e+00,
9.9554688198e-01  9.4986751213e-01,
1.0000000000e+00  1.0000000000e+00,
9.9027038178e-01  9.6621906274e-01,
1.0000000000e+00  1.0000000000e+00,
9.8922203899e-01  9.7788000337e-01,
1.0000000000e+00  1.0000000000e+00,
9.8950779664e-01  9.8100497165e-01,
1.0000000000e+00  1.0000000000e+00,
9.8981264197e-01  9.8177760242e-01,
1.0000000000e+00  1.0000000000e+00,
9.9001562683e-01  9.7969590726e-01,
1.0000000000e+00  1.0000000000e+00,
9.9110221074e-01  9.6653947608e-01,
1.0000000000e+00  1.0000000000e+00,
9.9584038778e-01  9.4344330560e-01,
1.0000000000e+00  1.0000000000e+00,
1.0198217087e+00  1.0157844412e+00,
1.0381219059e+00  1.0350997141e+00,
1.0697775255e+00  1.0602764555e+00,
1.0986377244e+00  1.0913495827e+00,
1.1373190794e+00  1.1255459669e+00,
1.1686469167e+00  1.1577618338e+00,
1.1948455952e+00  1.1819895370e+00,
1.2054427124e+00  1.1932108606e+00,
1.2021707705e+00  1.1890429097e+00,
1.1818917247e+00  1.1704982113e+00,
1.1539464572e+00  1.1415726899e+00,
1.1158332144e+00  1.1078452511e+00,
1.0843904426e+00  1.0746458760e+00,
1.0491290204e+00  1.0454677052e+00,
1.0249663239e+00  1.0211443841e+00,
1.0000000000e+00  1.0000000000e+00,
9.7503367612e-01  9.7885561592e-01,
9.5087097960e-01  9.5453229482e-01,
9.1560955742e-01  9.2535412402e-01,
8.8416678557e-01  8.9215474887e-01,
8.4605354285e-01  8.5842731011e-01,
8.1810827529e-01  8.2950178868e-01,
7.9782922954e-01  8.1095709026e-01,
7.9455728760e-01  8.0678913944e-01,
8.0515440480e-01  8.1801046296e-01,
8.3135308326e-01  8.4223816624e-01,
8.6268092062e-01  8.7445403305e-01,
9.0136227557e-01  9.0865041726e-01,
9.3022247453e-01  9.3972354452e-01,
9.6187809409e-01  9.6490028587e-01,
9.8017829126e-01  9.8421555881e-01,
1.0000000000e+00  1.0000000000e+00,
1.0071731244e+00  1.0149761505e+00,
1.0000000000e+00  1.0000000000e+00,
1.0216703630e+00  1.0457412886e+00,
1.0000000000e+00  1.0000000000e+00,
1.0311736382e+00  1.0607750257e+00,
1.0000000000e+00  1.0000000000e+00,
1.0337405562e+00  1.0559185790e+00,
1.0000000000e+00  1.0000000000e+00,
1.0349916831e+00  1.0571310520e+00,
1.0000000000e+00  1.0000000000e+00,
1.0339586410e+00  1.0634368362e+00,
1.0000000000e+00  1.0000000000e+00,
1.0232766816e+00  1.0465476752e+00,
1.0000000000e+00  1.0000000000e+00,
1.0071742541e+00  1.0141933986e+00,
1.0000000000e+00  1.0000000000e+00,
9.9282574586e-01  9.8580660139e-01,
1.0000000000e+00  1.0000000000e+00,
9.7672331838e-01  9.5345232475e-01,
1.0000000000e+00  1.0000000000e+00,
9.6604135903e-01  9.3656316384e-01,
1.0000000000e+00  1.0000000000e+00,
9.6500831689e-01  9.4286894803e-01,
1.0000000000e+00  1.0000000000e+00,
9.6625944383e-01  9.4408142096e-01,
1.0000000000e+00  1.0000000000e+00,
9.6882636181e-01  9.3922497426e-01,
1.0000000000e+00  1.0000000000e+00,
9.7832963699e-01  9.5425871144e-01,
1.0000000000e+00  1.0000000000e+00,
9.9282687557e-01  9.8502384947e-01,
1.0000000000e+00  1.0000000000e+00,
1.0081257810e+00  1.0053128758e+00,
1.0174075795e+00  1.0148742547e+00,
1.0379329656e+00  1.0304903481e+00,
1.0552220371e+00  1.0506565545e+00,
1.0801599502e+00  1.0716767847e+00,
1.0947179595e+00  1.0897163500e+00,
1.1097138038e+00  1.1022188270e+00,
1.1129657731e+00  1.1079297103e+00,
1.1137617485e+00  1.1060564363e+00,
1.1011591485e+00  1.0957980598e+00,
1.0861476416e+00  1.0771230426e+00,
1.0575935372e+00  1.0524204633e+00,
1.0350394883e+00  1.0272883591e+00,
1.0115720184e+00  1.0086324047e+00,
1.0031078693e+00  1.0003705189e+00,
1.0000000000e+00  1.0000000000e+00,
9.9689213065e-01  9.9962948111e-01,
9.8842798165e-01  9.9136759530e-01,
9.6496051170e-01  9.7271164093e-01,
9.4240646276e-01  9.4757953673e-01,
9.1385235843e-01  9.2287695736e-01,
8.9884085150e-01  9.0420194021e-01,
8.8623825147e-01  8.9394356373e-01,
8.8703422687e-01  8.9207028971e-01,
8.9028619618e-01  8.9778117304e-01,
9.0528204054e-01  9.1028365002e-01,
9.1984004982e-01  9.2832321534e-01,
9.4477796290e-01  9.4934344550e-01,
9.6206703436e-01  9.6950965190e-01,
9.8259242046e-01  9.8512574531e-01,
9.9187421904e-01  9.9468712418e-01,
1.0000000000e+00  1.0000000000e+00,
9.3280380126e-01  9.3113200755e-01,
1.0000000000e+00  1.0000000000e+00,
1.0206643844e+00  1.0174970109e+00,
1.0000000000e+00  1.0000000000e+00,
1.0385682171e+00  1.0365114662e+00,
1.0000000000e+00  1.0000000000e+00,
1.0021394753e+00  1.0011565982e+00,
1.0000000000e+00  1.0000000000e+00,
1.0040185033e+00  1.0030401283e+00,
1.0000000000e+00  1.0000000000e+00,
1.0361588070e+00  1.0341806485e+00,
1.0000000000e+00  1.0000000000e+00,
9.6874549124e-01  9.6595064035e-01,
1.0000000000e+00  1.0000000000e+00,
9.1349972859e-01  9.1221899213e-01,
1.0000000000e+00  1.0000000000e+00,
1.0855266754e+00  1.0868074119e+00,
1.0000000000e+00  1.0000000000e+00,
1.0309762851e+00  1.0337711360e+00,
1.0000000000e+00  1.0000000000e+00,
9.6381450376e-01  9.6579266229e-01,
1.0000000000e+00  1.0000000000e+00,
9.9597938887e-01  9.9695776388e-01,
1.0000000000e+00  1.0000000000e+00,
9.9785698092e-01  9.9883985801e-01,
1.0000000000e+00  1.0000000000e+00,
9.6132814004e-01  9.6338489092e-01,
1.0000000000e+00  1.0000000000e+00,
9.7719353502e-01  9.8036090843e-01,
1.0000000000e+00  1.0000000000e+00,
1.0532950632e+00  1.0549668569e+00,
1.0000000000e+00  1.0000000000e+00,
8.5383881395e-01  8.5281023329e-01,
9.9031703310e-01  9.9031703310e-01,
9.9546424486e-01  9.9400819445e-01,
1.0052181658e+00  1.0052181658e+00,
1.0006606953e+00  1.0000483129e+00,
9.8361700089e-01  9.8361700089e-01,
9.2019278744e-01  9.2000707338e-01,
9.5767247975e-01  9.5767247975e-01,
9.3161914800e-01  9.3144058408e-01,
9.8776493473e-01  9.8776493473e-01,
1.0132025462e+00  1.0126686515e+00,
9.9109766835e-01  9.9109766835e-01,
9.0139407245e-01  9.0030490992e-01,
9.5107602615e-01  9.5107602615e-01,
8.1665509212e-01  8.1604287875e-01,
1.0000000000e+00  1.0000000000e+00,
1.1808830904e+00  1.1814953038e+00,
1.0489239739e+00  1.0489239739e+00,
1.0977783096e+00  1.0988674722e+00,
1.0089023316e+00  1.0089023316e+00,
9.8668660218e-01  9.8722049693e-01,
1.0122350653e+00  1.0122350653e+00,
1.0683680005e+00  1.0685465644e+00,
1.0423275202e+00  1.0423275202e+00,
1.0797865183e+00  1.0799722324e+00,
1.0163829991e+00  1.0163829991e+00,
9.9895590136e-01  9.9956828382e-01,
9.9478183419e-01  9.9478183419e-01,
9.9910560928e-01  1.0005616597e+00,
1.0096829669e+00  1.0096829669e+00,
1.1167608224e+00  1.1177894031e+00,
1.0000000000e+00  1.0000000000e+00,
7.7732516546e-01  7.7662531560e-01,
1.0000000000e+00  1.0000000000e+00,
9.7633730440e-01  9.7558458691e-01,
1.0000000000e+00  1.0000000000e+00,
9.7585907161e-01  9.7564685747e-01,
1.0000000000e+00  1.0000000000e+00,
8.7004622493e-01  8.7000402996e-01,
1.0000000000e+00  1.0000000000e+00,
9.0066363161e-01  9.0062453375e-01,
1.0000000000e+00  1.0000000000e+00,
1.0348599121e+00  1.0346929668e+00,
1.0000000000e+00  1.0000000000e+00,
8.7016204971e-01  8.6968836489e-01,
1.0000000000e+00  1.0000000000e+00,
7.3821859014e-01  7.3789933945e-01,
1.0000000000e+00  1.0000000000e+00,
1.2567201906e+00  1.2570394413e+00,
1.0000000000e+00  1.0000000000e+00,
1.1278147056e+00  1.1282883904e+00,
1.0000000000e+00  1.0000000000e+00,
9.6476175667e-01  9.6492870192e-01,
1.0000000000e+00  1.0000000000e+00,
1.0992730774e+00  1.0993121752e+00,
1.0000000000e+00  1.0000000000e+00,
1.1298565362e+00  1.1298987311e+00,
1.0000000000e+00  1.0000000000e+00,
1.0229902270e+00  1.0232024411e+00,
1.0000000000e+00  1.0000000000e+00,
1.0126617164e+00  1.0134144339e+00,
1.0000000000e+00  1.0000000000e+00,
1.1742143187e+00  1.1749141685e+00,
1.0000000000e+00  1.0000000000e+00,
7.0902392408e-01  7.0850317462e-01,
9.7641749286e-01  9.7641749286e-01,
9.7041474001e-01  9.6998208920e-01,
9.9879036859e-01  9.9879036859e-01,
9.5799977816e-01  9.5791614519e-01,
9.4800966415e-01  9.4800966415e-01,
8.1551197980e-01  8.1550079114e-01,
9.1361134910e-01  9.1361134910e-01,
8.7443275916e-01  8.7442278796e-01,
9.9050248883e-01  9.9050248883e-01,
